"","x"
"1","They’re on lockdown, have military roving around their vicinity, and the continent where it belongs were declared as the center of pandemic, but look at them!

Meanwhile in the Philippines... "
"2","Makes me wish our country can afford a total lockdown so I can draw all day.

But needing to go out to be able to eat and pay bills despite the risk of getting infected is the sad reality of life in the Philippines."
"3","Hard fact is that the Philippines is too poor to afford a total lockdown. "
"4","Coronavirus lockdown strikes fear among Manila's poor | Philippines News "
"5","Philippines restricts travel in, out of Metro Manila to contain COVID-19 "
"6","The Philippines went from 3 Cases to ZERO to 111 all of a SUDDEN; solution now is to shock the citizenry with a Lockdown and let them reflect on how we stayed at zero and now have a HELL of A PROBLEM in a matter of days "
"7","How does a Metro Manila lockdown control the COVID-19 problem when foreigners can fly into all cities in the Philippines? "
"8","Magandang gabi mga ka-quarantine kamusta kayo? 

It's 30 minutes to the Metro Manila community quarantine (a.ka. lockdown) and I still don't understand how the Philippines will defeat COVID-19."
"9","Almost TWO MONTHS ago we WARNED that TATAY needs to IMPOSE strict TRAVEL Restrictions to MINIMIZE the risk! But NO, the trolls called us cry baby and fearmongers! Now we may need to put whole MANILA on LOCKDOWN! Fools! "
"10","This is how Italians react to a lockdown. A stark contrast to the "
"11","The National Capital Region (NCR) of the Republic of the Philippines is going on lockdown tomorrow in a bid to mitigate the spread of COVID-19. Keeping all the frontliners in the fight against this virus in my prayers. <U+0001F64F><U+0001F3FD>"
"12","i hate my life!!!! send me to the philippines!!!! let me be part of the travel ban lockdown until the 14th!!!! let me be locked in a house with my cousins and my sister as we fight doing the chores!!!!"
"13","I WANNA BE ON LOCKDOWN IN THE PHILIPPINES TRAPPED IN A HOUSE WITH MY SISTER, COUSINS, AND A TATTOO GUN!!!! LET SOMEONE TATTOO AN R ON THE BACK OF MY LEFT SHOULDER!!!!"
"14","Goodluck to the provincial hospitals next week. Lockdown pero nag mass exodus ang mga Pinoy? Classic Philippines <U+0001F44F><U+0001F3FC>"
"15","wait a minute the philippines is on lockdown so that means its basically the purge bitch i will break into my teacher’s house and k word some bitches literally my hit list has purpose"
"16","LATEST: Two new deaths in the Philippines, bringing total to 8. It has been a bad week for the country. Confirmed coronavirus cases spiked from 10 cases as of March 8 to 64 cases as of March 13. Lockdown of Metro Manila begins Monday. Curfew is imposed, too, from 8pm to 5am. "
"17","Large number of Indian students in Philippines stranded and helpless due to lockdown. Desperate to return home before the situation worsens "
"18","Large number of Indian students in Philippines stranded and helpless due to lockdown. Desperate to return home before the situation worsens "
"19","INFO: Community quarantine (or lockdown, not totally) will be imposed in some provinces/areas in the Philippines due to coronavirus disease (COVID-19).  This means that travel in and out in an area is restricted.

Source: Philippine Emergency Alerts "
"20","OMG Philippines Lockdown is hella scary!
Its like the real purge!"
"21","Philippines ask citizens to do preventive measures (stay indoors, lockdown.. Etc)
People: nooo! Dictator ka! We will not bow down to military power! You'll use this as an excuse for martial law! 

<U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644><U+0001F47D><U+0001F644>"
"22","Coronavirus lockdown strikes fear among Manila's poor | Philippines News | Al Jazeera "
"23","cry babies of the philippines be like: lockdown na martial law na, may tanke na sa kalsada <U+0001F62D><U+0001F62D> govt betrayed us huhuhu "
"24","Metro Manila in the Philippines is in an effective lockdown Panic buying &amp; evac of visitors occurring 
President Duterte  ordered: ""Community quarantine is hereby imposed in the entire of Metro Manila""
Effective from 15 Mar - 14 Apr "
"25","Philippines situation escalating due to several politicians &amp; senior medical staff all being confirmed as infected with "
"26","Other countries on lockdown:OK
Philippines on Lockdown:Martial Law 
Ha?!Hindi ko kayo ma gets. You guys really want the virus to spread?FYI wala akong paki kay duterte.I want everyone to cooperate to slow the spread of the virus.We have a common enemy.Don’t add to the problem.<U+0001F62B>"
"27","COVID19

 LOCKDOWN AND COMMUNITY QUARANTINE IMPLEMENTED.

OTHER COUNTRIES : THEY FOLLOWED.

PHILIPPINES : NAG RALLY!

OHA! MABUHAY!"
"28","other countries: government declares lockdown, citizens follow.

Philippines:
"
"29","Covid-19 Update.
Infected Count - 64.
<U+0001F637><U+0001F9A0>
"
"30","Manila going on lockdown by 15March to April 14 with Marshal Law, curfew and permit system. troop deployment today. Total number of "
"31","Oh crap. I thought Manila is the only one on lockdown. There's a possibility we'll have lockdowns per region in the Philippines. No in and out of our islands!<U+0001F62D>"
"32","Ugh
Our government's plan is just too incoherent.

We might see a nationwide lockdown in our hands.

"
"33","One in five people in Philippines live in extreme poverty "
"34","One in five people in Philippines live in extreme poverty "
"35","Of ALL countries in ASEAN, and ALL countries in the WORLD, can someone explain why only DUTERTE’s Philippines is forced to first LOCKDOWN it’s CAPITAL of 12 million people before anyone any other city??"
"36","In the Philippines they announced a lockdown due to COVID-19 yet here in Japan they don’t give a shit about it <U+0001F643>"
"37","Damn some people here in the Philippines think that having a lockdown and quarantine with a curfew is already a martial law declaration, sometimes these people make me ashamed to even be filipino at all. If they really want martial law they should go somewhere else. "
"38","People in other country when they lockdown they stay at home and never complaint. 

In the Philippines,

People : Martial law! Mga bobong gobyerno! President bashers nag labasan sa social media And all stupid stuff blaming others.

"
