"","x"
"1","Philippines, are you ready? <U+0001F1F5><U+0001F1ED> 
Together, let's defeat "
"2",""
"3",""
"4",""
"5",""
"6",""
"7","No Filipino Healthworker should leave the Philippines to work abroad; this is a Healthworker Lockdown Proposal "
"8",""
"9",""
"10",""
"11",""
"12","PRESIDENT OF PHILIPPINES PUT THE COUNTRY ON LOCKDOWN STARTING THE 15TH AND OUR FLIGHT IS ON THE 13TH HOLYYYY"
"13","Metro Manila is in a Lockdown't "
"14",""
"15",""
"16",""
"17",""
"18","Philippines kena lockdown ke??"
"19",""
"20",""
"21","What do you think?
"
"22",""
"23",""
"24",""
"25",""
"26",""
"27",""
"28",""
"29","An aerial view of traffic at North Luzon Expressway hours before Manila is placed on lockdown, on March 14, 2020 in the outskirts of Metro Manila, Philippines.

 (Photo by Ezra Acayan for Getty Images) "
"30","Philippine capital on lockdown to contain coronavirus "
"31",""
"32",""
"33","In the "
"34","When Italy declared "
"35",""
"36",""
"37",""
"38",""
"39",""
"40",""
"41","Covid-19 Update.
Total: 98 
"
"42","Covid 19: <U+0001F608><U+0001F480>
Duterte: P"
"43","Recap Episode 6 Kingdom.
24 minutes before Season 2.
<U+0001F9DF><U+200D><U+2640><U+FE0F><U+0001F9DF><U+200D><U+2642><U+FE0F>
"
"44",""
"45",""
"46",""
"47",""
"48",""
"49",""
"50",""
"51","President Duterte says it is still 'too early' to impose the sweeping measure after the Philippines records 24 confirmed cases of the coronavirus. "
"52",""
"53",""
"54",""
"55","I think this should be implemented to all the provinces in the Philippines not just in Manila but this is a great step to minimizing the spread of the virus. Lockdown should be a lockdown gud<U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB> "
"56",""
"57",""
"58","Only on "
"59",""
"60",""
"61",""
"62",""
"63",""
"64",""
"65",""
"66","THREAD: Details of what Manila’s "
"67","What you need to know about the Metro Manila 'community quarantine' | ABS-CBN News "
"68",""
"69","The Philippines has announced a Metro Manila-wide "
"70",""
"71",""
"72",""
"73",""
"74",""
"75",""
"76",""
"77",""
"78","[ANNOUNCEMENT]

In light of the recent announcement by the President of the Philippines, AllrisePH's 35th Fanproject for our dearest kamahalan Lee Hyukjae has been canceled due to the Metro Manila lockdown. "
"79","Philippines and weather

"
"80",""
"81",""
"82",""
"83",""
"84",""
"85","People shouts for total lockdown, but they don't understand what would gonna happen to the Philippines if that happens."
"86",""
"87",""
"88",""
"89","Those last 48h were loco loco in the Philippines because of the Coronavirus and many cities lockdown. "
"90","Thursday, March 12th around 9pm, 
Philippine President Rodrigo Duterte announced a lockdown of Metro Manila (aka the Metropole) for 1 month
"
"91","Philippine president orders coronavirus lockdown of Manila

"
"92",""
"93","What you need to know about the Metro Manila 'community quarantine' "
"94",""
"95",""
"96",""
"97",""
"98","me: goal kong mag-bicol this year
lockdown: say no more "
"99","Posted withregram • "
"100",""
"101",""
"102",""
"103",""
"104",""
"105","People here in the "
"106",""
"107",""
"108",""
"109",""
"110",""
"111","Should "
"112","What's the point of a "
"113",""
"114",""
"115","Preparations to arrange traveling for Maldivians in Manila, Philippines amidst lockdown "
"116",""
"117","Philippines on lockdown.

Me: "
"118",""
"119",""
"120","Might be going the the Philippines in December instead because of the lockdown, my mom and I would wouldn't be able to be with family which is the whole point of the trip"
"121",""
"122",""
"123",""
"124","Philippines' President announces 'lockdown' of Manila
"
"125","We have updated our Travel Advice for the "
"126","Due to the rapidly developing situation with COVID-19 and the Metro Manila Lockdown, WWE Hall of Famer "
"127",""
"128",""
"129","Hello "
"130","Metro Manila, a region of over 12 million people, will be placed on "
"131",""
"132",""
"133",""
"134",""
"135",""
"136",""
"137","Last week I did buy this one, because we needed 1! Now people buy many pieces because they are "
"138","A grocery store in the "
"139","News in the "
"140",""
"141","Long lines in "
"142",""
"143",""
"144",""
"145",""
"146",""
"147","<U+0001F4B0> How to send LOAD / DATA  to philippines "
"148",""
"149","The 1st reported case of "
"150","Philippines announces coronavirus lockdown of Metro Manila | "
"151",""
"152",""
"153",""
"154",""
"155",""
"156",""
"157",""
"158",""
"159","Are you in "
"160","March 13: The last supper 

On the eve of a 30-day "
"161",""
"162","Philippine capital on lockdown to contain coronavirus "
"163",""
"164",""
"165",""
"166",""
"167",""
"168",""
"169",""
"170",""
"171",""
"172",""
"173",""
"174",""
"175",""
"176",""
"177","“We do not want to use that (term). But it is a lockdown.” — Rodrigo Duterte "
"178","Home - Northbound Philippines News Online "
"179","News Archives - Northbound Philippines News Online "
"180","News Archives - Northbound Philippines News Online "
"181","President Rodrigo Duterte just declared a lockdown of Metro Manila amid rising cases of coronavirus in the Philippines. 
 "
"182",""
"183",""
"184",""
"185","Italy suspended all mortgages and household bills because of the "
"186","China-lockdown
Japan-lockdown
Korea-lockdown

Philippines-lock mo pinto, usap lang"
"187",""
"188",""
"189",""
"190",""
"191","Update on this. "
"192",""
"193","Philippine capital on lockdown to contain coronavirus "
"194",""
"195","Metro "
"196","“LIVE UPDATES: Metro Manila to be placed on 'lockdown' amid "
"197",""
"198","What you need to know about the Metro Manila 'community quarantine' | ABS-CBN News "
"199","Philippines announces coronavirus lockdown of Metro Manila "
"200","CHIMMP HAS MANILA IN A LOCKDOWN - WHAT IS CHIMMP - Life in the Philippines "
"201","What you need to know about the Metro Manila 'community quarantine' "
"202",""
"203","What you need to know about the Metro Manila 'community quarantine' "
"204","NO LOCKDOWN. The Department of Health said there has been no lockdown order on any part of the country amid the rising number of "
"205","A lockdown to control the spread of "
"206","hello from "
"207","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"208",""
"209","Just in case you need to know what is the boundaries of metro manila. Here is our lockdown area. "
"210",""
"211",""
"212",""
"213",""
"214","Some places here on Philippines<U+0001F1F5><U+0001F1ED>were now totally lockdown due to COVID-19<U+0001F62D><U+0001F62D><U+0001F62D> "
"215","What you need to know about the Metro Manila 'community quarantine' "
"216",""
"217",""
"218",""
"219","What you need to know about the Metro Manila 'community quarantine' "
"220",""
"221",""
"222",""
"223","Davao not on lockdown pero ang guidelines parang lockdown. No confirm cases yet. "
"224",""
"225","When the line is too long: 

Grocery stores in the "
"226",""
"227",""
"228","In the Philippines, officials tell you to rent houses in areas affected by the lockdown "
"229","What you need to know about the Metro Manila 'community quarantine' "
"230","Philippines: Duterte announces lockdown of entire Metro Manila "
"231","Philippine president orders coronavirus lockdown of Manila "
"232",""
"233","This is why I don't use Expedia. "
"234",""
"235",""
"236",""
"237","Cabinet Sec. Nograles: The technical word ‘lockdown’ can’t be defined by our medical experts, that’s why we use quarantine "
"238","handa ba,amg Philippines for lockdown?<U+0001F914><U+0001F914><U+0001F914>"
"239",""
"240",""
"241","<U+2066>"
"242","Metro Manila (Philippines) Lockdown: 
-Suspension of classes until April 12
- Land, domestic air and sea travel restrictions 
-Mass gatherings prohibitions

Stay safe everyone."
"243",""
"244","Oh no <U+0001F631>

Philippine president orders coronavirus lockdown of Manila "
"245",""
"246",""
"247",""
"248",""
"249","Have we replaced the "
"250","Philippines: Duterte announces lockdown of entire Metro Manila "
"251","Wow....
Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus - Reuters "
"252","Metro Manila to be placed on 'lockdown' due to COVID-19 "
"253","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"254","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"255",""
"256",""
"257","Reposted only....CTTO!

Dear Family and Friends in the Philippines, 

DON'T MAKE THE SAME MISTAKES LIKE WE DID HERE IN ITALY.

Being in Lockdown means you have to STAY AT HOME and AVOID at all costs going out.

"
"258",""
"259","Consider the population difference of Macao to the Philippines on how they were able to pull off that complete lockdown in their country. "
"260","Philippines on lockdown <U+0001F447><U+0001F447><U+0001F447> "
"261","As "
"262",""
"263","Are foreigners from countries with COVID-19 cases restricted to enter just Metro Manila or the whole Philippines? Coz there are direct international flights to other cities outside NCR like Cebu and Clark. "
"264","the way i was supposed to fly to the philippines in a month’s time but they’re on lockdown"
"265","Coronavirus: Duterte announces lockdown of entire Metro Manila, may call on China for help "
"266","President Duterte of The Philippines announces a lockdown of manila and "
"267",""
"268","Hello "
"269",""
"270",""
"271","After the president put Manila under lockdown, would "
"272",""
"273","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"274","Metro Manila to be placed on 'lockdown' due to COVID-19 "
"275",""
"276",""
"277",""
"278",""
"279","Will this Metro Manila "
"280",""
"281",""
"282","Philippines: Duterte announces lockdown of entire Metro Manila "
"283","Philippine President Rodrigo "
"284","1. "
"285","A diplomat from "
"286","when i can’t even go back to the philippines bc she’s on lockdown <U+0001F494> "
"287","Metro "
"288",""
"289",""
"290",""
"291",""
"292",""
"293","So The Philippines is on lockdown, can’t go outside. Can’t hang out. Can’t run out. Can’t walk around. *Queen plays* I want to break free~~"
"294",""
"295","Gah my priorities. The National Capital Region in the Philippines will be under lockdown, and all I can think about is how absolutely gutted I am for "
"296","Hi "
"297","<U+203C><U+FE0F>"
"298","Philippines: Duterte announces lockdown of entire Metro Manila "
"299",""
"300",""
"301","Just realized something. Italy was put into lockdown after their COVID19 cases rose to thousands. And here we are in the Philippines, 49 cases so far and people are already thinking about lockdown ng Metro Manila.<U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"302",""
"303",""
"304",""
"305","Philippines: Duterte announces lockdown of entire Metro Manila "
"306",""
"307",""
"308","Gone were the days when ""Go For The Crown"" was the battlecry of every Filipino <U+0001F451> "
"309",""
"310","Philippine president orders coronavirus lockdown of capital - CNA "
"311","We are on a quarantine / lockdown for 12 million people "
"312","Just got the news now Manila is on Lockdown cause of the coronavirus. I was supposed to go to the Philippines next month but apparently that’s not gonna happen "
"313","Philippines: Duterte announces lockdown of entire Metro Manila "
"314","philippines under lockdown charot hdjsksks "
"315",""
"316",""
"317",""
"318",""
"319",""
"320",""
"321","Ahemf...
People of the philippines 
"
"322","Phil Pres Duterte announced a lockdown of more than 12m in the 16 cities natl capital region, Metro Manila, to contain the spread of  "
"323","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"324","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"325","How points and miles got my 79-year-old mom home in first class before a coronavirus lockdown "
"326","Philippine capital on lockdown to contain coronavirus "
"327","Lockdown Manila, but may call on help from China?! -- according to Duterte.
"
"328","Philippine president orders coronavirus lockdown of capital "
"329","The problem with living abroad is that you can't do nothing but stay up all night worrying about your mom in another country. Metro Manila Philippines is on lockdown already. <U+0001F926><U+0001F3FB><U+0001F926><U+0001F3FB> 
Keep safe everyone. Stay Vigilant."
"330",""
"331",""
"332","As predicted on my "
"333","This is hypocrite! You let Chinese people enter Philippines when you have the chance for prevention! now, why do you need to lockdown manila? "
"334",""
"335",""
"336",""
"337",""
"338","Philippines' Duterte announces 'lockdown' with 53 deaths. "
"339",""
"340",""
"341",""
"342","Philippines: Duterte announces lockdown of entire Metro Manila "
"343","Thinking of my family and friends in "
"344","Duterte declares lockdown of Metro Manila for 30 days due to COVID-19 "
"345",""
"346","Philippines is about to go on Lockdown apparently."
"347",""
"348",""
"349","Follow our latest coverage on the "
"350","Philippine President Rodrigo "
"351",""
"352","Philippine capital on lockdown to contain coronavirus "
"353","Duterte places Metro Manila on 'lockdown' due to COVID-19 "
"354",""
"355","We answer all the questions you have about the Metro Manila Coronavirus lockdown. "
"356","Duterte declares lockdown of Metro Manila for 30 days due to COVID-19 "
"357",""
"358",""
"359","Philippine capital on lockdown to contain coronavirus - Reuters "
"360","Philippines puts its capital Manila under lockdown over coronavirus 
"
"361",""
"362","The Philippines has locked down the Capital City. "
"363",""
"364","if manila airport will be part of the "
"365","It's such a coincidence that, on the day the impeached "
"366",""
"367","Manila, Philippines  has been lockdown  !! <U+0001F637>

"
"368","Entire Philippines on lockdown mode ceasing all movement. "
"369",""
"370",""
"371",""
"372",""
"373","Philippines: Duterte announces lockdown of entire Metro Manila "
"374","Philippines: Duterte announces lockdown of entire Metro Manila "
"375","Philippine capital on lockdown to contain coronavirus - Reuters "
"376",""
"377",""
"378",""
"379","Philippine capital on lockdown to contain coronavirus "
"380","Philippines: Duterte announces lockdown of entire Metro Manila "
"381","Coronavirus: Duterte announces lockdown of entire Metro Manila, may call on China for help

"
"382",""
"383","Coronavirus: Philippine’s president orders lockdown in capital city of Manila "
"384","Need to LOCKDOWN the Entire Philippines <U+0001F1F5><U+0001F1ED>"
"385","my mom is trying to book a flight for her friends stuck in the Philippines so they can leave the country before the lockdown in two days. my mom is literally the best human"
"386",""
"387","Lockdown: March 15 - April 14 
"
"388","Philippine President Rodrigo "
"389","What's hard is that manila is the capital of the Philippines, a lot of people work there and some go home to provinces weekly or so, since the lockdown starts at March 15 wouldn't the possibility of people going home be high?"
"390",""
"391",""
"392",""
"393",""
"394",""
"395",""
"396","My story on "
"397",""
"398","Philippine capital on lockdown to contain coronavirus
"
"399","Coronavirus: Duterte announces lockdown of entire Metro Manila, may call on China for help "
"400","Duterte announces lockdown of entire Metro Manila "
"401","I know for a fact this is related to the Senate lockdown announced just now.

"
"402","Looking at the tweets, the ""martial law"" issue being linked to lockdown announcement is not only in the Philippines. It's a global phenomenon. "
"403","Philippine capital on lockdown to contain coronavirus "
"404","not a DDS but Philippines isn’t the only one who’s implementing a lockdown... I’m <U+0001F974><U+0001F974><U+0001F974> dis tew much boi "
"405","Philippines President Rodrigo Duterte announces month-long lockdown of entire Metro Manila to contain coronavirus "
"406",""
"407","Philippines: Duterte announces lockdown of entire Metro Manila "
"408",""
"409","Coronavirus: Duterte announces lockdown of entire Metro Manila, may call on China for help "
"410","My region going on "
"411",""
"412","Philippines: Duterte announces lockdown of entire Metro Manila
"
"413",""
"414","Philippines is in Lockdown, not travel in or out of Manila"
"415","Yikes kasama rin nga pala Holy Week sa lockdown. Never spent Holy Week anywhere else in the Philippines but in Mindoro."
"416",""
"417",""
"418",""
"419",""
"420","Me doing my social distancing! "
"421","Coronavirus: Duterte announces lockdown of entire Metro Manila, may call on China for help "
"422",""
"423","My parents are in the Philippines and now Manila is on lockdown."
"424","Philippines President Rodrigo Duterte tested for coronavirus, orders lockdown of capital "
"425",""
"426","Philippines: Duterte announces lockdown of entire Metro Manila "
"427",""
"428",""
"429",""
"430",""
"431","President Rodrigo Duterte announced that Metro Manila will be placed on lockdown from March 15 to April 12 in order to contain the spread of the COVID-19 in the Philippines. "
"432",""
"433",""
"434",""
"435","The busiest city in the Philippines is on lockdown. Wonder how this will turn outttttt"
"436","Metro Manila "
"437","Metro "
"438",""
"439",""
"440",""
"441","Philippines President Duterte puts Metro Manila on lockdown due to "
"442",""
"443",""
"444","<U+203C><U+FE0F> "
"445","the president just announced that one of the city here in philippines is on lockdown now bcs of covid-19,,,"
"446","Dammit...I shouldve said Philippines too, now Metro Manila is in lockdown "
"447","NCR LOCKDOWN 
LAND,AIR AND SEA
MARCH 15 TO APRIL 14,2020
OFFICIAL STATEMENT BY THE PRESIDENT OF THE REPUBLIC OF THE PHILIPPINES. <U+0001F97A>"
"448",""
"449","Metro Manila, Philippines is now on lockdown. No travel allowed to and from for a month <U+0001F614><U+0001F614><U+0001F614>"
"450",""
"451","this is what The Philippines should have done in the first place, and now Metro Manila is on lockdown <U+0001F643> "
"452",""
"453","And obviously, by proxy, the Philippines will be on lockdown due to the closing of the national capital region."
"454",""
"455","the entire capital region of the Philippines is gonna be under lockdown for ONE MONTH starting this coming Sunday"
"456","is this the first time PHILIPPINES' CAPITAL REGION is in "
"457",""
"458","Lockdown will start here in Manila on Sunday... "
"459",""
"460","Call on China...to take over the Philippines during the one month lockdown? "
"461","Dearest PPRD, 70-80% of our patients having chemotherapy at "
"462",""
"463","We need more specifications of this "
"464",""
"465","Metro Manila is on full lockdown starting March 15-April 14, 2020 "
"466","So... this is it, lock down, we'll wait out until the disease die off slowly. Good news for health but bad news for other things. Food will run out, water, time, money and etc. but we get to be safe and away from the disease, we'll be alive for a moment. "
"467",""
"468",""
"469","Metro Manila lockdown March 15- March 22. "
"470","Metro Manila, Philippines is in "
"471","metro manila (philippines) will be on lockdown 3 days from now "
"472","So we'll all be in lockdown for a month? No travel to Metro Manila? Can any Filos confirm? I wasn't able to watch the president's announcement earlier. "
"473","People in the Philippines still doesn't realize how serious the "
"474","philippines is in lockdown, that woke me up from my drunkstate"
"475",""
"476","Metro Manila, a region of 12M people, the economic center of the Philippines, and my hometown will now be on lockdown with land, air, and sea travel to and from the region suspended for 30 days. "
"477","Live "
"478","Philippines is under lockdown on march 15"
"479","Hey "
"480","With this "
"481",".... the philippines is now on lockdown <U+0001F601><U+0001F44D><U+0001F3FB>"
"482",""
"483","Goodbye Philippines Hello Lockdown "
"484","So basically the Philippines is on Lockdown from March 15 2020 - April 14 2020."
"485",""
"486","Why don't we lockdown every island in the "
"487",""
