"","x"
"1","it's 12:00am march 15, 2020 when metro manila effectively placed under community quarantine or "
"2","Nevermind the ‘lockdown’ BUT PLEASE

• medical experts/practitioners &gt; military
• test kits &gt; fuels/guns
• health policy &gt; curfews
• Philippines &gt; China

Mahirap ba talaga? <U+0001F614>"
"3","10MINS BEFORE THE COMMENCEMENT OF PURGE PHILIPPINES. 

"
"4","no masses this Sunday. keep safe

"
"5","Lockdown/Community Quarantine to take effect in less than 30 minutes.

God bless Philippines <U+0001F64F><U+0001F3FD><U+0001F1F5><U+0001F1ED>"
"6","if a g7 country like italy can’t contain "
"7","me and mcon and our family are so lucky our flight home was before the Philippines lockdown. the photos of ppl at the airport hoping to get home are so scary and now they're all stuck there <U+0001F97A>"
"8","Lockdown in MNL so home cooked meals are the best. Add more fruits &amp; veggies to your meals loves. And pls stay safe! "
"9","Guess what: Marikina has decontamination tents too. In addition, no lockdown, price freeze on commodities, 3000 TEST KITS ORDERED, among other helpful ordinances. "
"10","This is not a test.

This is your emergency broadcast system announcing the commencement of the Community Quarantine AKA. Incomplete Lockdown sanctioned by the Philippine Government.

God Bless Philippines. "
"11","49 minutes left til the National Capital Region of the Philippines will undergo lockdown. Curious as to how this would all turn out"
"12","Philippines is on lockdown Bill, good news would be appreciated ;) "
"13","On the eve of de-facto lockdown, 3 deaths and 47 new infected from "
"14","Philippines in lockdown.

Justified measures for "
"15","My boy is in the Philippines &amp; they’re on lockdown until April 14th <U+0001F633>"
"16","Bottomline is: these steps (curfew and lockdown) are enforced for prevention.

I assume the Philippines can’t afford a full blown covid-19 infection. Hence, the cliche phrase of prevention than cure.

Just that the issue is MAINLY medical."
"17","The day isn't over. Philippines Covid-19 cases reaches 3 digits. As of 9pm March 14 or three hours before lockdown, 13 more cases are confirmed. This brings total to 111 cases including 8 deaths. "
"18","the Philippines is currently on lockdown pls keepsafe everyone as an employee in the government we will be on the frontline to ensure the safety of everyone I hope nothing will worsen this situation and I really want this virus to end"
"19","""BREAKING: Philippines confirms 13 new cases of COVID-19, bringing a total of 111.""

JUST LIKE THAT. 3 HOURS BEFORE THE LOCKDOWN."
"20","Happy Birthday mom <U+2764><U+FE0F> Stay safe at Philippines . Kat sana Authorised lockdown . So my mom takleh keluar <U+0001F97A> I miss you ..  btw she is a fans of Rossa Glow Essence by "
"21","""Uhh... Riku? A little help?""

Our concept is about these two best buddies moving in together! We worked on this set a couple of weeks before the capital wide lockdown here in the Philippines. Unfortunately, this… "
"22","Na lockdown ang China 1month ago, Praying for a fully recovered patients in their nations. And also I pray for Philippines fast recovery that cause of COVID-19 not to spread anymore, including our President Duterte's health. Be safe everyone! <U+0001F64F>"
"23","Philippines: *announces community quarantine, curfew hours, travel lockdown and class suspension*

chloe: but jaehyun? did jaehyun? where's jaehyun? is jaehyun eating? jaehyun is breathing? jaehyun"
"24","Mass exodus out of Manila. The same exactly when thousands left Wuhan before the lockdown. This is how Covid 19 spread out of Wuhan. Good luck Philippines."
"25","There’s been lockdown to every country affected by covid, and strong military presence were implemented too, but they didn’t view it as Martial Law. <U+0001F937><U+0001F3FB> Only in the Philippines. "
"26","Remember when the people from Wuhan tried to flee before the lockdown? That’s exactly what is happening in the Philippines right now. So good luck everyone. I just hope nothing will happen. <U+0001F623> "
"27","I agree with the President to use Armed Forces/Military Forces to provide high security during lockdown to at least stop the transmission of the virus. So before you question, follow. Cooperation is what the Philippines needs right now."
"28","italy didn’t follow their curfew and their government’s attempts at a lockdown which is why they have the highest number of confirmed cases outside of china. you want the philippines to be like italy??? "
"29","in the philippines, metro manila's going to be on lockdown from march 15 to april 14. all schools are suspended as well, malls are also going to shut down :/ "
"30","FYI, Duterte’s Philippines is now the FIRST and ONLY COUNTRY in the world to be forced to first place its CAPITAL on a LOCKDOWN (and with no clear strategy and guidelines yet) —  thanks to best Mayor in the solar system <U+0001F44A><U+0001F44A><U+0001F44A>"
"31","my province here in the Philippines is declaring a LOCKDOWN.

My moving up ceremony is canceled."
"32","The Armed Forces of the Philippines, instead of doing their mandate to protect the Constitution and its people from threats foreign and domestic will now be “guardians” of the NCR lockdown alongside the PNP. Their immunity might be compromised."
"33","Well this is what it looks like in LA too.. nothing new. A place like Metro Manila should be on lockdown for safety measures. The Philippines is very lenient in terms of lifestyle and culture so a lockdown should help minimize tagay2 contact..lol.. "
"34","So easy now for China to invade the Philippines via NCR
"
"35","Into lockdown we go.  Here in the Philippines, we are preparing for “community quarantine” which is a mild version of China’s lockdown. I’ve been out and panic-bought some corona beer. That should see me through."
"36","President Rodrigo Duterte will place Metro Manila on lockdown for at least 30 days to contain the spread of the novel coronavirus in the Philippines. He also raises Code Red Sublevel 2 Thursday, March 12
Full story: "
"37","Reports of a planned lockdown in NCR have been circulating due to a spike in confirmed "
"38","LIVE NOW: DOTr holds press briefing ahead of Metro Manila "
"39","This came as President Duterte raised ""Code Red Sublevel 2"" over Metro Manila, placing it on ""community quarantine"" or lockdown after localized transmissions of the "
"40","Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days to contain the spread of the novel "
"41","Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days to contain the spread of the novel "
"42","Reports of a planned lockdown in NCR have been circulating due to a spike in confirmed "
"43","The public transport system in the Philippines is a good avenue for transmission of "
"44","Northern Philippines has been on lock down. In my city, lockdown will start Monday <U+0001F637> community quarantine in some parts <U+0001F637>"
"45","COVID-19 approach and reactions on lockdown and community quarantine. 

Other countries: its people and the community supported the action. 

Philippines:  mass panic buying of alcohol."
"46","USA: close school/ban Europe flights
ITALY: Lockdown
DENMARK: Lockdown
CHINA: Lockdown
NORWAY: Lockdown
PHILIPPINES: Community Quarantine/ Curfew

Filipinos: "
