"","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","it's 12:00am march 15, 2020 when metro manila effectively placed under community quarantine or ",0,0,0,1,0,0,0,0,0,2
"2","Nevermind the ‘lockdown’ BUT PLEASE

• medical experts/practitioners &gt; military
• test kits &gt; fuels/guns
• health policy &gt; curfews
• Philippines &gt; China

Mahirap ba talaga? <U+0001F614>",0,1,0,2,0,0,0,2,0,1
"3","They’re on lockdown, have military roving around their vicinity, and the continent where it belongs were declared as the center of pandemic, but look at them!

Meanwhile in the Philippines... ",0,0,0,2,0,1,0,1,1,1
"4","10MINS BEFORE THE COMMENCEMENT OF PURGE PHILIPPINES. 

",0,0,0,1,0,0,0,0,1,0
"5","Philippines, are you ready? <U+0001F1F5><U+0001F1ED> 
Together, let's defeat ",0,1,0,0,0,0,0,0,1,0
"6","no masses this Sunday. keep safe

",0,0,0,0,1,0,0,1,0,1
"7","Lockdown/Community Quarantine to take effect in less than 30 minutes.

God bless Philippines <U+0001F64F><U+0001F3FD><U+0001F1F5><U+0001F1ED>",0,2,0,2,2,0,0,2,0,3
"8","Makes me wish our country can afford a total lockdown so I can draw all day.

But needing to go out to be able to eat and pay bills despite the risk of getting infected is the sad reality of life in the Philippines.",0,2,0,1,1,0,0,1,1,3
"9","Hard fact is that the Philippines is too poor to afford a total lockdown. ",0,0,0,0,0,0,0,1,0,1
"10","Coronavirus lockdown strikes fear among Manila's poor | Philippines News ",1,0,0,1,0,0,0,0,1,0
"11","Philippines restricts travel in, out of Metro Manila to contain COVID-19 ",0,0,0,0,0,0,0,0,0,0
"12","",0,0,0,0,0,0,0,0,0,0
"13","if a g7 country like italy can’t contain ",0,0,0,0,0,0,0,0,0,0
"14","",0,0,0,0,0,0,0,0,0,0
"15","",0,0,0,0,0,0,0,0,0,0
"16","",0,0,0,0,0,0,0,0,0,0
"17","",0,0,0,0,0,0,0,0,0,0
"18","The Philippines went from 3 Cases to ZERO to 111 all of a SUDDEN; solution now is to shock the citizenry with a Lockdown and let them reflect on how we stayed at zero and now have a HELL of A PROBLEM in a matter of days ",2,0,1,3,0,2,2,0,3,1
"19","How does a Metro Manila lockdown control the COVID-19 problem when foreigners can fly into all cities in the Philippines? ",0,0,0,1,0,1,0,0,1,0
"20","No Filipino Healthworker should leave the Philippines to work abroad; this is a Healthworker Lockdown Proposal ",0,0,0,0,0,1,1,0,1,0
"21","",0,0,0,0,0,0,0,0,0,0
"22","",0,0,0,0,0,0,0,0,0,0
"23","",0,0,0,0,0,0,0,0,0,0
"24","Magandang gabi mga ka-quarantine kamusta kayo? 

It's 30 minutes to the Metro Manila community quarantine (a.ka. lockdown) and I still don't understand how the Philippines will defeat COVID-19.",0,0,0,1,0,0,0,0,1,1
"25","",0,0,0,0,0,0,0,0,0,0
"26","me and mcon and our family are so lucky our flight home was before the Philippines lockdown. the photos of ppl at the airport hoping to get home are so scary and now they're all stuck there <U+0001F97A>",0,1,0,0,1,0,1,0,0,1
"27","PRESIDENT OF PHILIPPINES PUT THE COUNTRY ON LOCKDOWN STARTING THE 15TH AND OUR FLIGHT IS ON THE 13TH HOLYYYY",0,0,0,0,0,0,0,1,0,1
"28","Lockdown in MNL so home cooked meals are the best. Add more fruits &amp; veggies to your meals loves. And pls stay safe! ",0,0,0,0,1,0,0,1,0,1
"29","Almost TWO MONTHS ago we WARNED that TATAY needs to IMPOSE strict TRAVEL Restrictions to MINIMIZE the risk! But NO, the trolls called us cry baby and fearmongers! Now we may need to put whole MANILA on LOCKDOWN! Fools! ",0,2,0,2,1,1,1,0,3,1
"30","Guess what: Marikina has decontamination tents too. In addition, no lockdown, price freeze on commodities, 3000 TEST KITS ORDERED, among other helpful ordinances. ",0,0,0,0,1,0,1,1,0,1
